year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,12,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3217.00,757.00,134.91,20.91,108.23,0.02,492.93,49.00,8.00,78310.00,18314.00,6127.00,6850.00,1.00,47018.00
2025,12,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",90.00,15.00,1.04,1.21,9.99,0.00,2.76,1.00,0.00,627.00,40.00,71.00,407.00,0.00,109.00
2025,12,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",175.00,65.00,17.09,1.70,21.84,1.00,23.36,5.00,0.00,5152.00,1847.00,202.00,970.00,58.00,2075.00
2025,12,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",208.00,73.00,17.79,2.40,20.45,0.00,32.36,5.00,0.00,5663.00,1528.00,402.00,1223.00,0.00,2510.00
2025,12,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",128.00,59.00,11.48,1.28,26.02,0.00,20.21,1.00,0.00,4254.00,1151.00,253.00,1414.00,0.00,1436.00
2025,12,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1589.00,598.00,96.93,10.75,126.22,0.67,363.44,65.00,1.00,59047.00,13241.00,1386.00,8631.00,14.00,35775.00
2025,12,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",136.00,62.00,7.47,1.08,31.85,0.00,21.60,4.00,0.00,6214.00,853.00,24.00,3012.00,0.00,2325.00
2025,12,9E,Endeavor Air Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,12,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",109.00,36.00,9.39,2.28,8.48,0.00,15.85,6.00,0.00,4330.00,1677.00,140.00,623.00,0.00,1890.00
2025,12,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1541.00,533.00,99.45,20.59,171.09,0.00,241.87,82.00,1.00,51582.00,12799.00,2905.00,12948.00,0.00,22930.00
2025,12,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",2095.00,712.00,129.61,23.72,241.95,0.00,316.73,116.00,16.00,73794.00,16894.00,4927.00,21197.00,0.00,30776.00
2025,12,9E,Endeavor Air Inc.,MCO,"Orlando, FL: Orlando International",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,12,9E,Endeavor Air Inc.,MDW,"Chicago, IL: Chicago Midway International",81.00,43.00,12.43,0.11,11.32,0.00,19.14,3.00,0.00,4509.00,1532.00,16.00,638.00,0.00,2323.00
2025,12,9E,Endeavor Air Inc.,MIA,"Miami, FL: Miami International",12.00,5.00,2.27,0.00,2.73,0.00,0.00,0.00,0.00,603.00,264.00,0.00,339.00,0.00,0.00
2025,12,9E,Endeavor Air Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",1464.00,516.00,79.11,16.02,131.16,0.00,289.71,65.00,1.00,49570.00,11652.00,2257.00,8646.00,0.00,27015.00
2025,12,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",83.00,31.00,3.81,0.81,15.57,0.00,10.81,4.00,1.00,2627.00,252.00,118.00,894.00,0.00,1363.00
