DEPARTURES_PERFORMED,SEATS,PASSENGERS,ORIGIN,DEST,YEAR,QUARTER
0.00,0.00,0.00,ATL,LAX,2025,1
0.00,0.00,0.00,ATL,LAX,2025,1
0.00,0.00,0.00,ATL,SAN,2025,1
0.00,0.00,0.00,ATL,SAN,2025,4
0.00,0.00,0.00,BNA,ONT,2025,1
0.00,0.00,0.00,BUR,LAX,2025,2
0.00,0.00,0.00,CVG,LAX,2025,1
0.00,0.00,0.00,EWR,LAX,2025,3
0.00,0.00,0.00,EWR,SMF,2025,1
0.00,0.00,0.00,HOU,SFO,2025,2
0.00,0.00,0.00,IAH,SJC,2025,1
0.00,0.00,0.00,JFK,ONT,2025,3
0.00,0.00,0.00,LAX,ATL,2025,4
0.00,0.00,0.00,LAX,EWR,2025,3
0.00,0.00,0.00,LAX,LAX,2025,3
0.00,0.00,0.00,LAX,LAX,2025,4
0.00,0.00,0.00,LAX,SEA,2025,4
0.00,0.00,0.00,MDW,PSP,2025,1
0.00,0.00,0.00,MDW,SMF,2025,2
0.00,0.00,0.00,MIA,LAX,2025,3
0.00,0.00,0.00,NJK,ATL,2025,1
0.00,0.00,0.00,OAK,LAX,2025,4
0.00,0.00,0.00,ONT,ONT,2025,3
0.00,0.00,0.00,ONT,ONT,2025,4
0.00,0.00,0.00,PHX,LAX,2025,1
0.00,0.00,0.00,RIV,SLN,2025,1
0.00,0.00,0.00,SAN,ATL,2025,1
0.00,0.00,0.00,SAN,ATL,2025,4
0.00,0.00,0.00,SAN,JFK,2025,2
0.00,0.00,0.00,SFO,DEN,2025,2
0.00,0.00,0.00,SFO,DEN,2025,2
0.00,0.00,0.00,SFO,LAS,2025,2
0.00,0.00,0.00,SFO,SFO,2025,1
0.00,0.00,0.00,SJC,HPN,2025,1
0.00,0.00,0.00,SJC,MSP,2025,1
0.00,0.00,0.00,SJC,SNA,2025,4
0.00,0.00,0.00,SLN,RIV,2025,1
0.00,0.00,0.00,SMF,EWR,2025,1
0.00,0.00,0.00,SMF,SLC,2025,2
0.00,0.00,0.00,SMF,SLC,2025,3
0.00,0.00,0.00,SNA,DEN,2025,4
0.00,0.00,0.00,SNA,MDW,2025,4
0.00,0.00,0.00,SNA,OAK,2025,3
0.00,0.00,0.00,SNA,OKC,2025,4
0.00,0.00,0.00,YUM,LAX,2025,1
1.00,0.00,0.00,7CA,CIC,2025,4
1.00,0.00,0.00,ABQ,LAX,2025,4
1.00,0.00,0.00,ABQ,LGB,2025,4
1.00,0.00,0.00,ABQ,OAK,2025,4
1.00,0.00,0.00,ABQ,ONT,2025,2
1.00,0.00,0.00,ABQ,SBD,2025,1
1.00,0.00,0.00,ACV,CEC,2025,4
