DEPARTURES_PERFORMED,SEATS,PASSENGERS,ORIGIN,DEST,YEAR,QUARTER
0.00,0.00,0.00,ATL,AVL,2025,2
0.00,0.00,0.00,ATL,AVL,2025,3
0.00,0.00,0.00,ATL,BUF,2025,3
0.00,0.00,0.00,ATL,CPS,2025,4
0.00,0.00,0.00,ATL,DFW,2025,1
0.00,0.00,0.00,ATL,DFW,2025,4
0.00,0.00,0.00,ATL,DMA,2025,1
0.00,0.00,0.00,ATL,DTW,2025,3
0.00,0.00,0.00,ATL,GRB,2025,1
0.00,0.00,0.00,ATL,GSO,2025,4
0.00,0.00,0.00,ATL,IND,2025,3
0.00,0.00,0.00,ATL,LAX,2025,1
0.00,0.00,0.00,ATL,LAX,2025,1
0.00,0.00,0.00,ATL,LIT,2025,1
0.00,0.00,0.00,ATL,LIT,2025,1
0.00,0.00,0.00,ATL,LIT,2025,2
0.00,0.00,0.00,ATL,MCO,2025,3
0.00,0.00,0.00,ATL,MCO,2025,4
0.00,0.00,0.00,ATL,MEM,2025,2
0.00,0.00,0.00,ATL,MIA,2025,2
0.00,0.00,0.00,ATL,MSY,2025,4
0.00,0.00,0.00,ATL,PHX,2025,4
0.00,0.00,0.00,ATL,RDU,2025,4
0.00,0.00,0.00,ATL,RIC,2025,4
0.00,0.00,0.00,ATL,SAN,2025,1
0.00,0.00,0.00,ATL,SAN,2025,4
0.00,0.00,0.00,ATL,SBN,2025,1
0.00,0.00,0.00,ATL,SDF,2025,2
0.00,0.00,0.00,ATL,SGF,2025,1
0.00,0.00,0.00,ATL,SLN,2025,1
0.00,0.00,0.00,ATL,SRQ,2025,4
0.00,0.00,0.00,ATL,TPA,2025,2
0.00,0.00,0.00,ATL,TPA,2025,3
0.00,0.00,0.00,ATL,YUM,2025,2
0.00,0.00,0.00,ATL,YUM,2025,4
0.00,0.00,0.00,AVL,ATL,2025,2
0.00,0.00,0.00,AVL,ATL,2025,3
0.00,0.00,0.00,BFI,ATL,2025,1
0.00,0.00,0.00,BKL,ATL,2025,3
0.00,0.00,0.00,BOS,ATL,2025,2
0.00,0.00,0.00,BUF,ATL,2025,4
0.00,0.00,0.00,CLE,ATL,2025,3
0.00,0.00,0.00,CVG,ATL,2025,1
0.00,0.00,0.00,CVG,ATL,2025,3
0.00,0.00,0.00,DFW,ATL,2025,1
0.00,0.00,0.00,DTW,ATL,2025,3
0.00,0.00,0.00,GSO,ATL,2025,4
0.00,0.00,0.00,IND,ATL,2025,3
0.00,0.00,0.00,JFK,ATL,2025,1
0.00,0.00,0.00,JFK,ATL,2025,4
0.00,0.00,0.00,LAS,ATL,2025,3
0.00,0.00,0.00,LAX,ATL,2025,4
0.00,0.00,0.00,LIT,ATL,2025,1
0.00,0.00,0.00,LIT,ATL,2025,1
0.00,0.00,0.00,LIT,ATL,2025,2
0.00,0.00,0.00,MCO,ATL,2025,3
0.00,0.00,0.00,MCO,ATL,2025,4
0.00,0.00,0.00,MIA,ATL,2025,2
0.00,0.00,0.00,MSY,ATL,2025,4
0.00,0.00,0.00,NJK,ATL,2025,1
0.00,0.00,0.00,ORD,ATL,2025,3
0.00,0.00,0.00,PAM,ATL,2025,1
0.00,0.00,0.00,PHX,ATL,2025,4
0.00,0.00,0.00,PIE,ATL,2025,3
0.00,0.00,0.00,PIT,ATL,2025,1
0.00,0.00,0.00,PIT,ATL,2025,4
0.00,0.00,0.00,RDU,ATL,2025,4
0.00,0.00,0.00,RIC,ATL,2025,4
0.00,0.00,0.00,RNO,ATL,2025,1
0.00,0.00,0.00,SAN,ATL,2025,1
0.00,0.00,0.00,SAN,ATL,2025,4
0.00,0.00,0.00,SAV,DAL,2025,3
0.00,0.00,0.00,SAV,HHH,2025,3
0.00,0.00,0.00,SBN,ATL,2025,1
0.00,0.00,0.00,SBN,ATL,2025,4
0.00,0.00,0.00,SEA,ATL,2025,4
0.00,0.00,0.00,SGF,ATL,2025,1
0.00,0.00,0.00,SRQ,ATL,2025,4
0.00,0.00,0.00,TPA,ATL,2025,2
0.00,0.00,0.00,TPA,ATL,2025,3
0.00,0.00,0.00,TYS,ATL,2025,4
1.00,0.00,0.00,ABE,ATL,2025,4
1.00,0.00,0.00,ABY,ATL,2025,2
1.00,0.00,0.00,ABY,CAE,2025,4
1.00,0.00,0.00,ABY,CVG,2025,1
1.00,0.00,0.00,ABY,ELP,2025,4
