DEPARTURES_PERFORMED,SEATS,PASSENGERS,ORIGIN,DEST,YEAR,QUARTER
0.0,0.0,0.0,ATL,LAX,2025,1
0.0,0.0,0.0,ATL,LAX,2025,1
0.0,0.0,0.0,ATL,SAN,2025,1
0.0,0.0,0.0,BNA,ONT,2025,1
0.0,0.0,0.0,CVG,LAX,2025,1
0.0,0.0,0.0,EWR,SMF,2025,1
0.0,0.0,0.0,IAH,SJC,2025,1
0.0,0.0,0.0,MDW,PSP,2025,1
0.0,0.0,0.0,NJK,ATL,2025,1
0.0,0.0,0.0,PHX,LAX,2025,1
0.0,0.0,0.0,RIV,SLN,2025,1
0.0,0.0,0.0,SAN,ATL,2025,1
0.0,0.0,0.0,SFO,SFO,2025,1
0.0,0.0,0.0,SJC,HPN,2025,1
0.0,0.0,0.0,SJC,MSP,2025,1
0.0,0.0,0.0,SLN,RIV,2025,1
0.0,0.0,0.0,SMF,EWR,2025,1
0.0,0.0,0.0,YUM,LAX,2025,1
1.0,0.0,0.0,ABQ,SBD,2025,1
1.0,0.0,0.0,AFW,OAK,2025,1
1.0,0.0,0.0,AFW,RIV,2025,1
1.0,0.0,0.0,AFW,SCK,2025,1
1.0,0.0,0.0,AFW,SMF,2025,1
1.0,0.0,0.0,ANC,LAX,2025,1
1.0,0.0,0.0,ANC,LAX,2025,1
1.0,0.0,0.0,ANC,LAX,2025,1
1.0,0.0,0.0,ANC,LAX,2025,1
1.0,0.0,0.0,ANC,LAX,2025,1
1.0,0.0,0.0,ANC,MHR,2025,1
1.0,0.0,0.0,ANC,ONT,2025,1
1.0,0.0,0.0,ANC,ONT,2025,1
1.0,0.0,0.0,ATL,LAX,2025,1
1.0,0.0,0.0,AUS,SDM,2025,1
1.0,0.0,0.0,BFI,LAX,2025,1
1.0,0.0,0.0,BFI,OAK,2025,1
1.0,0.0,0.0,BIH,ONT,2025,1
1.0,0.0,0.0,BIL,ONT,2025,1
1.0,0.0,0.0,BNA,ONT,2025,1
1.0,0.0,0.0,BNA,ONT,2025,1
1.0,0.0,0.0,BOI,ONT,2025,1
1.0,0.0,0.0,BOI,ONT,2025,1
1.0,0.0,0.0,BUR,ONT,2025,1
1.0,0.0,0.0,BUR,SDF,2025,1
1.0,0.0,0.0,CHS,OAK,2025,1
1.0,0.0,0.0,CID,OAK,2025,1
1.0,0.0,0.0,CID,OAK,2025,1
1.0,0.0,0.0,CNO,ELP,2025,1
1.0,0.0,0.0,CNO,ELP,2025,1
1.0,0.0,0.0,CNO,FWA,2025,1
1.0,0.0,0.0,CNO,LCK,2025,1
1.0,0.0,0.0,CNO,LRD,2025,1
1.0,0.0,0.0,CNO,LRD,2025,1
1.0,0.0,0.0,CNO,PAE,2025,1
1.0,0.0,0.0,CNO,PAE,2025,1
1.0,0.0,0.0,CNO,PTK,2025,1
1.0,0.0,0.0,CVG,LAX,2025,1
1.0,0.0,0.0,CVG,LAX,2025,1
1.0,0.0,0.0,CVG,LAX,2025,1
1.0,0.0,0.0,CVG,LAX,2025,1
1.0,0.0,0.0,CVG,LAX,2025,1
1.0,0.0,0.0,CVG,LAX,2025,1
1.0,0.0,0.0,CVG,LAX,2025,1
1.0,0.0,0.0,CVG,ONT,2025,1
1.0,0.0,0.0,CVG,ONT,2025,1
1.0,0.0,0.0,CVG,SBD,2025,1
1.0,0.0,0.0,CVG,SFO,2025,1
1.0,0.0,0.0,CVG,SFO,2025,1
