LINEAR FEATURE IMPORTANCE
=========================
Rows: 19 | Columns: 4

[Columns 1-4 of 4]
--------------------------------------------------------------------------------
 rank                         feature  coefficient  abs_coefficient
    1       route_weather_delay_share    4437.7209        4437.7209
    2        route_avg_arr_delay_rate   -2645.4121        2645.4121
    3           route_nas_delay_share    1381.6508        1381.6508
    4           route_avg_cancel_rate   -1054.7394        1054.7394
    5 route_late_aircraft_delay_share     757.1828         757.1828
    6       route_carrier_delay_share     452.4134         452.4134
    7         competition_cancel_rate      58.8221          58.8221
    8                    is_saturated      11.7740          11.7740
    9     competition_unique_carriers      -8.0356           8.0356
   10           route_avg_load_factor      -7.1459           7.1459
   11                     load_factor      -7.1459           7.1459
   12           rolling_load_factor_2      -7.1459           7.1459
   13                 lag_load_factor      -7.1459           7.1459
   14        competition_delay15_rate      -4.0977           4.0977
   15           competition_avg_delay      -0.0948           0.0948
   16                 market_distance       0.0710           0.0710
   17             competition_flights       0.0201           0.0201
   18                 passengers_db1b      -0.0013           0.0013
   19                  avg_fuel_price       0.0000           0.0000
