PCA EXPLAINED VARIANCE
======================
Rows: 9 | Columns: 4

[Columns 1-4 of 4]
--------------------------------------------------------------------------------
 component_rank component  explained_variance_ratio  cumulative_explained_variance
              1       PC1                    0.3081                         0.3081
              2       PC2                    0.1706                         0.4787
              3       PC3                    0.1351                         0.6138
              4       PC4                    0.1125                         0.7262
              5       PC5                    0.0667                         0.7930
              6       PC6                    0.0556                         0.8486
              7       PC7                    0.0380                         0.8866
              8       PC8                    0.0340                         0.9206
              9       PC9                    0.0308                         0.9514
